"|","|__name","|__scientific_name","|__gbif_id","|__iucn_status"
"167","Costa's Hummingbird","Calypte costae (Bourcier, 1839)","2476675","LEAST_CONCERN"
"168","Greater Scaup","Aythya fuligula x marila","10382597","Not Available"
"169","Ring-necked Pheasant","Phasianus colchicus Linnaeus, 1758","9752149","LEAST_CONCERN"
"170","Great Cormorant","Phalacrocorax carbo (Linnaeus, 1758)","2481890","LEAST_CONCERN"
"171","Mourning Dove","Zenaida macroura (Linnaeus, 1758)","2495347","LEAST_CONCERN"
"173","Black-crowned Night-Heron","Nycticorax nycticorax (Linnaeus, 1758)","2480863","LEAST_CONCERN"
"174","Lesser Scaup","Aythya affinis (Eyton, 1838)","2498257","LEAST_CONCERN"
"175","Red-shouldered Hawk","Buteo lineatus (Gmelin, 1788)","2480529","LEAST_CONCERN"
"176","Peregrine Falcon","Falco peregrinus Tunstall, 1771","2481047","LEAST_CONCERN"
"177","Nuttall's Woodpecker","Dryobates nuttallii (Gambel, 1843)","9088491","LEAST_CONCERN"
"179","Common Eider","Somateria mollissima (Linnaeus, 1758)","2498352","NEAR_THREATENED"
"180","Calliope Hummingbird","Selasphorus calliope (Gould, 1847)","7597244","LEAST_CONCERN"
"181","Harlequin Duck","Histrionicus histrionicus (Linnaeus, 1758)","2498224","LEAST_CONCERN"
"182","Burrowing Owl","Athene cunicularia (Molina, 1782)","2497240","LEAST_CONCERN"
"184","Yellow-crowned Night-Heron","Nyctanassa violacea (Linnaeus, 1758)","2480953","LEAST_CONCERN"
"185","Western Grebe","Aechmophorus occidentalis (Lawrence, 1858)","2482033","LEAST_CONCERN"
"186","Broad-winged Hawk","Buteo platypterus (Vieillot, 1823)","2480538","LEAST_CONCERN"
"187","Surf Scoter","Melanitta perspicillata (Linnaeus, 1758)","2498246","LEAST_CONCERN"
"188","Downy Woodpecker","Dryobates pubescens (Linnaeus, 1766)","9149595","LEAST_CONCERN"
"189","Silky-Flycatchers","Phalanger sericeus Thomas, 1907","2440262","LEAST_CONCERN"
"190","Pigeon Guillemot","Cepphus columba Pallas, 1811","9315520","LEAST_CONCERN"
"191","Bonaparte's Gull","Chroicocephalus philadelphia (Ord, 1815)","6065818","NOT_EVALUATED"
"192","White-winged Scoter","Melanitta deglandi (Bonaparte, 1850)","2498243","LEAST_CONCERN"
"193","Ruffed Grouse","Bonasa umbellus (Linnaeus, 1766)","2473702","LEAST_CONCERN"
"194","Common Loon","Gavia immer (Brunnich, 1764)","2481962","LEAST_CONCERN"
"195","Pelagic Cormorant","Phalacrocorax pelagicus Pallas, 1811","2481870","LEAST_CONCERN"
"196","Inca Dove","Columbina inca (R.Lesson, 1847)","2495863","LEAST_CONCERN"
"197","Greater Roadrunner","Geococcyx californianus (Lesson, 1829)","2496459","LEAST_CONCERN"
"198","White Ibis","Threskiornis molucca (Cuvier, 1829)","2480765","LEAST_CONCERN"
"200","Broad-tailed Hummingbird","Selasphorus platycercus (Swainson, 1827)","2476844","LEAST_CONCERN"
"201","Black Scoter","Melanitta nigra (Linnaeus, 1758)","2498247","LEAST_CONCERN"
"202","Swainson's Hawk","Buteo swainsoni Bonaparte, 1838","2480562","LEAST_CONCERN"
"203","Long-tailed Duck","Clangula hyemalis (Linnaeus, 1758)","2498273","VULNERABLE"
"204","Sandhill Crane","Grus canadensis (Linnaeus, 1758)","2474953","LEAST_CONCERN"
"205","Barred Owl","Strix varia Barton, 1799","2497541","LEAST_CONCERN"
"206","Hairy Woodpecker","Leuconotopicus villosus (Linnaeus, 1766)","9192501","LEAST_CONCERN"
"207","Wood-Warblers","Lithobates sylvaticus (LeConte, 1825)","2427072","LEAST_CONCERN"
"208","Glossy Ibis","Plegadis falcinellus (Linnaeus, 1766)","2480773","LEAST_CONCERN"
"209","Bufflehead","Osmia bucephala Cresson, 1864","5039079","NOT_EVALUATED"
"210","Red-tailed Hawk","Buteo jamaicensis (Gmelin, 1788)","2480542","LEAST_CONCERN"
"211","Prairie Falcon","Falco mexicanus Schlegel, 1850","2481000","LEAST_CONCERN"
"213","Rufous Hummingbird","Selasphorus rufus (J.F.Gmelin, 1788)","2476855","NEAR_THREATENED"
"214","Common Goldeneye","Bucephala clangula (Linnaeus, 1758)","2498326","LEAST_CONCERN"
"215","Clark's Grebe","Aechmophorus clarkii (Lawrence, 1858)","2482032","LEAST_CONCERN"
"216","Northern Flicker","Colaptes auratus (Linnaeus, 1758)","2478259","LEAST_CONCERN"
"218","Laughing Gull","Leucophaeus atricilla (Linnaeus, 1758)","6065844","NOT_EVALUATED"
"219","Barrow's Goldeneye","Bucephala islandica (J.F.Gmelin, 1789)","2498325","LEAST_CONCERN"
"220","Wild Turkey","Meleagris gallopavo Linnaeus, 1758","9606290","LEAST_CONCERN"
"221","Anhinga","Anhinga anhinga (Linnaeus, 1766)","2482082","LEAST_CONCERN"
"222","Common Ground-Dove","Columbina passerina (Linnaeus, 1758)","2495869","LEAST_CONCERN"
"223","White-faced Ibis","Plegadis chihi (Vieillot, 1817)","9375033","LEAST_CONCERN"
"224","Rough-legged Hawk","Buteo lagopus (Pontoppidan, 1763)","2480524","LEAST_CONCERN"
"225","Hooded Merganser","Lophodytes cucullatus (Linnaeus, 1758)","2498408","LEAST_CONCERN"
"226","Northern Saw-whet Owl","Aegolius acadicus (J.F.Gmelin, 1788)","5232207","LEAST_CONCERN"
"228","Allen's Hummingbird","Selasphorus sasin (R.Lesson, 1829)","2476852","LEAST_CONCERN"
"229","Common Merganser","Mergus merganser Linnaeus, 1758","9537647","LEAST_CONCERN"
"230","Pileated Woodpecker","Dryocopus pileatus (Linnaeus, 1758)","5228824","LEAST_CONCERN"
"232","Heermann's Gull","Larus heermanni Cassin, 1852","2481130","NEAR_THREATENED"
"233","Roseate Spoonbill","Platalea ajaja Linnaeus, 1758","2480803","LEAST_CONCERN"
"234","Golden Eagle","Aquila bivia Emslie & Czaplewski, 1999","8482549","NOT_EVALUATED"
"235","Red-breasted Merganser","Mergus serrator Linnaeus, 1758","2498375","LEAST_CONCERN"
"237","Mew Gull","Ichthyaetus melanocephalus x Larus canus","10528985","Not Available"
"238","Ruddy Duck","Oxyura jamaicensis (J.F.Gmelin, 1789)","2498305","LEAST_CONCERN"
"239","Western Gull","Larus occidentalis Audubon, 1839","9656686","LEAST_CONCERN"
"240","Ring-billed Gull","Larus delawarensis Ord, 1815","2481134","LEAST_CONCERN"
"241","California Gull","Larus californicus Lawrence, 1854","2481146","LEAST_CONCERN"
"242","Herring Gull","Larus smithsonianus Coues, 1862","4848480","LEAST_CONCERN"
"243","Glaucous-winged Gull","Larus glaucescens J.F.Naumann, 1840","2481196","LEAST_CONCERN"
"244","Great Black-backed Gull","Larus argentatus x marinus","10305684","Not Available"
"245","Caspian Tern","Hydroprogne caspia (Pallas, 1770)","2481236","LEAST_CONCERN"
"246","Black Tern","Chlidonias niger (Linnaeus, 1758)","2481119","LEAST_CONCERN"
"247","Common Tern","Sterna hirundo Linnaeus, 1758","9367409","LEAST_CONCERN"
"248","Forster's Tern","Sterna forsteri Nuttall, 1834","5229247","LEAST_CONCERN"
"249","Royal Tern","Thalasseus maximus (Boddaert, 1783)","5789281","LEAST_CONCERN"
"250","Black Skimmer","Rynchops niger Linnaeus, 1758","2481209","LEAST_CONCERN"
"251","Ovenbird","Seiurus aurocapilla (Linnaeus, 1766)","2489590","LEAST_CONCERN"
"252","Green-tailed Towhee","Pipilo chlorurus (Audubon, 1839)","2491276","LEAST_CONCERN"
"253","Louisiana Waterthrush","Parkesia motacilla (Vieillot, 1809)","6093862","LEAST_CONCERN"
"254","Bobolink","Dolichonyx oryzivorus (Linnaeus, 1758)","2484417","LEAST_CONCERN"
"255","Gray-crowned Rosy-Finch","Leucosticte tephrocotis (Swainson, 1832)","2494360","LEAST_CONCERN"
"256","Western Wood-Pewee","Contopus sordidulus P.L.Sclater, 1859","5229754","LEAST_CONCERN"
"257","Gray Jay","Perisoreus canadensis (Linnaeus, 1766)","2482436","LEAST_CONCERN"
"258","Spotted Towhee","Pipilo maculatus Swainson, 1827","9709230","LEAST_CONCERN"
"259","Summer Tanager","Piranga rubra (Linnaeus, 1758)","2488485","LEAST_CONCERN"
"260","Northern Waterthrush","Parkesia noveboracensis (J.F.Gmelin, 1789)","6093856","LEAST_CONCERN"
"261","Carolina Chickadee","Poecile carolinensis (Audubon, 1834)","2487844","LEAST_CONCERN"
"262","Eastern Bluebird","Sialia sialis (Linnaeus, 1758)","2490941","LEAST_CONCERN"
